NID,Plot,Trail,Study,Species,Year,PlotYear,ident,FATE,EXP,OrdDate,TrailDist,RoadDist,EdgeDist,WTR,WBH,GPH,Core500,Edge60m,Core10km,Edge6010km,PatchArea,CoreArea,TrailType,UseLevel,PlotType,PatchType
715,EB7,EB7,MJP,AMRO,2009,EB7-09,07-15_2009,1,3,190,69.6,927.69,436.97,4.8,7.3,1.509,1,0,0.240820793,0.094523558,493.1557688,493.1557688,Old Road,H,R,Core
715,EB7,EB7,MJP,AMRO,2009,EB7-09,07-15_2009,1,5,195,69.6,927.69,436.97,4.8,7.3,1.509,1,0,0.240820793,0.094523558,493.1557688,493.1557688,Old Road,H,R,Core
715,EB7,EB7,MJP,AMRO,2009,EB7-09,07-15_2009,1,3,198,69.6,927.69,436.97,4.8,7.3,1.509,1,0,0.240820793,0.094523558,493.1557688,493.1557688,Old Road,H,R,Core
715,EB7,EB7,MJP,AMRO,2009,EB7-09,07-15_2009,1,5,203,69.6,927.69,436.97,4.8,7.3,1.509,1,0,0.240820793,0.094523558,493.1557688,493.1557688,Old Road,H,R,Core
715,EB7,EB7,MJP,AMRO,2009,EB7-09,07-15_2009,1,5,208,69.6,927.69,436.97,4.8,7.3,1.509,1,0,0.240820793,0.094523558,493.1557688,493.1557688,Old Road,H,R,Core
717,EB7,EB7,MJP,AMRO,2009,EB7-09,07-17_2009,0,5,208,15.6,934.52,405.83,4.8,7.3,1.509,1,0,0.240333241,0.09356638,493.1557688,493.1557688,Old Road,H,R,Core
801,SH2,SH2,MJP,AMRO,2009,SH2-09,08-01_2009,1,1,150,37.8,213.99,200.16,1.8,7.2,2.839,0.447880871,0.241695304,0.254308715,0.092866556,38.55792105,38.55792105,Old Road,L,C,Core
801,SH2,SH2,MJP,AMRO,2009,SH2-09,08-01_2009,1,4,154,37.8,213.99,200.16,1.8,7.2,2.839,0.447880871,0.241695304,0.254308715,0.092866556,38.55792105,38.55792105,Old Road,L,C,Core
801,SH2,SH2,MJP,AMRO,2009,SH2-09,08-01_2009,0,4,158,37.8,213.99,200.16,1.8,7.2,2.839,0.447880871,0.241695304,0.254308715,0.092866556,38.55792105,38.55792105,Old Road,L,C,Core
802,SH2,SH2,MJP,AMRO,2009,SH2-09,08-02_2009,1,1,150,117.3,193.44,137.37,1.8,7.2,2.839,0.62183908,0.149425287,0.253525484,0.093634793,38.55792105,38.55792105,Old Road,L,C,Core
802,SH2,SH2,MJP,AMRO,2009,SH2-09,08-02_2009,1,4,154,117.3,193.44,137.37,1.8,7.2,2.839,0.62183908,0.149425287,0.253525484,0.093634793,38.55792105,38.55792105,Old Road,L,C,Core
802,SH2,SH2,MJP,AMRO,2009,SH2-09,08-02_2009,0,4,158,117.3,193.44,137.37,1.8,7.2,2.839,0.62183908,0.149425287,0.253525484,0.093634793,38.55792105,38.55792105,Old Road,L,C,Core
